"states","commandType","command","target","utterance","allUtterances","model","semantics","alpha","sizeNoise","colorNoise","genderNoise","nounNoise","sizeCost","colorCost","nounCost","output"
"['blue_plate_masc', 'red_plate_masc', 'blue_knife_masc']","globalCont","globalUtteranceSpeaker('blue_knife_masc', model, params, semantics)","blue_knife_masc","START knife_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START knife_masc STOP', 'START blue_masc knife_masc STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','knife_masc','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'knife_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc','blue_knife_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc','blue_knife_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),knife_masc: ['blue_knife_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_knife_masc'], state),STOP : 1, START : 1 } } }",1,0.8,0.95,0.8,0.9,0,0,0,0.226076514062317
"['blue_plate_masc', 'red_plate_masc', 'blue_knife_masc']","globalCont","globalUtteranceSpeaker('blue_knife_masc', model, params, semantics)","blue_knife_masc","START blue_masc knife_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START knife_masc STOP', 'START blue_masc knife_masc STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','knife_masc','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'knife_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc','blue_knife_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc','blue_knife_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),knife_masc: ['blue_knife_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_knife_masc'], state),STOP : 1, START : 1 } } }",1,0.8,0.95,0.8,0.9,0,0,0,0.225519255811481
"['blue_plate_masc', 'red_plate_masc', 'blue_knife_masc']","globalCont","globalUtteranceSpeaker('blue_knife_masc', model, params, semantics)","blue_knife_masc","START blue_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START knife_masc STOP', 'START blue_masc knife_masc STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','knife_masc','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'knife_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc','blue_knife_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc','blue_knife_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),knife_masc: ['blue_knife_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_knife_masc'], state),STOP : 1, START : 1 } } }",1,0.8,0.95,0.8,0.9,0,0,0,0.176988442437113
"['blue_plate_masc', 'red_plate_masc', 'blue_knife_masc']","globalCont","globalUtteranceSpeaker('blue_knife_masc', model, params, semantics)","blue_knife_masc","START blue_masc plate_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START knife_masc STOP', 'START blue_masc knife_masc STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','knife_masc','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'knife_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc','blue_knife_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc','blue_knife_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),knife_masc: ['blue_knife_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_knife_masc'], state),STOP : 1, START : 1 } } }",1,0.8,0.95,0.8,0.9,0,0,0,0.102707890782665
"['blue_plate_masc', 'red_plate_masc', 'blue_knife_masc']","globalCont","globalUtteranceSpeaker('blue_knife_masc', model, params, semantics)","blue_knife_masc","START red_masc plate_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START knife_masc STOP', 'START blue_masc knife_masc STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','knife_masc','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'knife_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc','blue_knife_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc','blue_knife_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),knife_masc: ['blue_knife_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_knife_masc'], state),STOP : 1, START : 1 } } }",1,0.8,0.95,0.8,0.9,0,0,0,0.0971439393230844
"['blue_plate_masc', 'red_plate_masc', 'blue_knife_masc']","globalCont","globalUtteranceSpeaker('blue_knife_masc', model, params, semantics)","blue_knife_masc","START red_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START knife_masc STOP', 'START blue_masc knife_masc STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','knife_masc','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'knife_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc','blue_knife_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc','blue_knife_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),knife_masc: ['blue_knife_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_knife_masc'], state),STOP : 1, START : 1 } } }",1,0.8,0.95,0.8,0.9,0,0,0,0.0948234693565154
"['blue_plate_masc', 'red_plate_masc', 'blue_knife_masc']","globalCont","globalUtteranceSpeaker('blue_knife_masc', model, params, semantics)","blue_knife_masc","START plate_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START knife_masc STOP', 'START blue_masc knife_masc STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','knife_masc','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'knife_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc','blue_knife_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc','blue_knife_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),knife_masc: ['blue_knife_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_knife_masc'], state),STOP : 1, START : 1 } } }",1,0.8,0.95,0.8,0.9,0,0,0,0.076740488226824
"['blue_plate_masc', 'red_plate_masc', 'blue_knife_masc']","globalCont","globalUtteranceSpeaker('blue_knife_masc', model, params, semantics)","blue_knife_masc","START knife_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START knife_masc STOP', 'START blue_masc knife_masc STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','knife_masc','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'knife_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc','blue_knife_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc','blue_knife_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),knife_masc: ['blue_knife_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_knife_masc'], state),STOP : 1, START : 1 } } }",1,0.8,0.95,0.8,0.9,0.1,0.1,0.1,0.235614031229468
"['blue_plate_masc', 'red_plate_masc', 'blue_knife_masc']","globalCont","globalUtteranceSpeaker('blue_knife_masc', model, params, semantics)","blue_knife_masc","START blue_masc knife_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START knife_masc STOP', 'START blue_masc knife_masc STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','knife_masc','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'knife_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc','blue_knife_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc','blue_knife_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),knife_masc: ['blue_knife_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_knife_masc'], state),STOP : 1, START : 1 } } }",1,0.8,0.95,0.8,0.9,0.1,0.1,0.1,0.212666891621466
"['blue_plate_masc', 'red_plate_masc', 'blue_knife_masc']","globalCont","globalUtteranceSpeaker('blue_knife_masc', model, params, semantics)","blue_knife_masc","START blue_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START knife_masc STOP', 'START blue_masc knife_masc STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','knife_masc','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'knife_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc','blue_knife_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc','blue_knife_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),knife_masc: ['blue_knife_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_knife_masc'], state),STOP : 1, START : 1 } } }",1,0.8,0.95,0.8,0.9,0.1,0.1,0.1,0.184455075205814
