"states","commandType","command","target","utterance","allUtterances","model","semantics","alpha","sizeNoise","colorNoise","genderNoise","nounNoise","sizeCost","colorCost","nounCost","output"
"['blue_plate_masc', 'red_plate_masc', 'blue_cup_fem']","incBool","incrementalUtteranceSpeaker('START blue_masc STOP', 'blue_plate_masc', model, params, semantics)","blue_plate_masc","START blue_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START blue_fem STOP', 'START cup_fem STOP', 'START blue_fem cup_fem STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','blue_fem','cup_fem','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'blue_fem' : params.colorCost,'plate_masc' : params.nounCost,'cup_fem' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),blue_fem: ['blue_cup_fem'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),cup_fem: ['blue_cup_fem'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),STOP : 1, START : 1 } } }",19,1,1,1,1,0.1,0.1,0.1,0.869889866453755
"['blue_plate_masc', 'red_plate_masc', 'blue_cup_fem']","incBool","incrementalUtteranceSpeaker('START plate_masc STOP', 'blue_plate_masc', model, params, semantics)","blue_plate_masc","START plate_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START blue_fem STOP', 'START cup_fem STOP', 'START blue_fem cup_fem STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','blue_fem','cup_fem','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'blue_fem' : params.colorCost,'plate_masc' : params.nounCost,'cup_fem' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),blue_fem: ['blue_cup_fem'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),cup_fem: ['blue_cup_fem'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),STOP : 1, START : 1 } } }",19,1,1,1,1,0.1,0.1,0.1,1.90734499484064e-06
"['blue_plate_masc', 'red_plate_masc', 'blue_cup_fem']","incBool","incrementalUtteranceSpeaker('START blue_masc plate_masc STOP', 'blue_plate_masc', model, params, semantics)","blue_plate_masc","START blue_masc plate_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START blue_fem STOP', 'START cup_fem STOP', 'START blue_fem cup_fem STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','blue_fem','cup_fem','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'blue_fem' : params.colorCost,'plate_masc' : params.nounCost,'cup_fem' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),blue_fem: ['blue_cup_fem'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),cup_fem: ['blue_cup_fem'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),STOP : 1, START : 1 } } }",19,1,1,1,1,0.1,0.1,0.1,0.130108226201251
"['blue_plate_masc', 'red_plate_masc', 'blue_cup_fem']","incBool","incrementalUtteranceSpeaker('START red_masc STOP', 'blue_plate_masc', model, params, semantics)","blue_plate_masc","START red_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START blue_fem STOP', 'START cup_fem STOP', 'START blue_fem cup_fem STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','blue_fem','cup_fem','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'blue_fem' : params.colorCost,'plate_masc' : params.nounCost,'cup_fem' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),blue_fem: ['blue_cup_fem'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),cup_fem: ['blue_cup_fem'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),STOP : 1, START : 1 } } }",19,1,1,1,1,0.1,0.1,0.1,0
"['blue_plate_masc', 'red_plate_masc', 'blue_cup_fem']","incBool","incrementalUtteranceSpeaker('START red_masc plate_masc STOP', 'blue_plate_masc', model, params, semantics)","blue_plate_masc","START red_masc plate_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START blue_fem STOP', 'START cup_fem STOP', 'START blue_fem cup_fem STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','blue_fem','cup_fem','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'blue_fem' : params.colorCost,'plate_masc' : params.nounCost,'cup_fem' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),blue_fem: ['blue_cup_fem'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),cup_fem: ['blue_cup_fem'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),STOP : 1, START : 1 } } }",19,1,1,1,1,0.1,0.1,0.1,0
"['blue_plate_masc', 'red_plate_masc', 'blue_cup_fem']","incBool","incrementalUtteranceSpeaker('START blue_fem STOP', 'blue_plate_masc', model, params, semantics)","blue_plate_masc","START blue_fem STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START blue_fem STOP', 'START cup_fem STOP', 'START blue_fem cup_fem STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','blue_fem','cup_fem','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'blue_fem' : params.colorCost,'plate_masc' : params.nounCost,'cup_fem' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),blue_fem: ['blue_cup_fem'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),cup_fem: ['blue_cup_fem'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),STOP : 1, START : 1 } } }",19,1,1,1,1,0.1,0.1,0.1,0
"['blue_plate_masc', 'red_plate_masc', 'blue_cup_fem']","incBool","incrementalUtteranceSpeaker('START cup_fem STOP', 'blue_plate_masc', model, params, semantics)","blue_plate_masc","START cup_fem STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START blue_fem STOP', 'START cup_fem STOP', 'START blue_fem cup_fem STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','blue_fem','cup_fem','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'blue_fem' : params.colorCost,'plate_masc' : params.nounCost,'cup_fem' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),blue_fem: ['blue_cup_fem'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),cup_fem: ['blue_cup_fem'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),STOP : 1, START : 1 } } }",19,1,1,1,1,0.1,0.1,0.1,0
"['blue_plate_masc', 'red_plate_masc', 'blue_cup_fem']","incBool","incrementalUtteranceSpeaker('START blue_fem cup_fem STOP', 'blue_plate_masc', model, params, semantics)","blue_plate_masc","START blue_fem cup_fem STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START blue_fem STOP', 'START cup_fem STOP', 'START blue_fem cup_fem STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','blue_fem','cup_fem','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'blue_fem' : params.colorCost,'plate_masc' : params.nounCost,'cup_fem' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),blue_fem: ['blue_cup_fem'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),cup_fem: ['blue_cup_fem'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),STOP : 1, START : 1 } } }",19,1,1,1,1,0.1,0.1,0.1,0
"['blue_plate_masc', 'red_plate_masc', 'blue_cup_fem']","incBool","incrementalUtteranceSpeaker('START blue_masc STOP', 'red_plate_masc', model, params, semantics)","red_plate_masc","START blue_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START blue_fem STOP', 'START cup_fem STOP', 'START blue_fem cup_fem STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','blue_fem','cup_fem','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'blue_fem' : params.colorCost,'plate_masc' : params.nounCost,'cup_fem' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),blue_fem: ['blue_cup_fem'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),cup_fem: ['blue_cup_fem'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),STOP : 1, START : 1 } } }",19,1,1,1,1,0.1,0.1,0.1,0
"['blue_plate_masc', 'red_plate_masc', 'blue_cup_fem']","incBool","incrementalUtteranceSpeaker('START plate_masc STOP', 'red_plate_masc', model, params, semantics)","red_plate_masc","START plate_masc STOP","['START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START blue_fem STOP', 'START cup_fem STOP', 'START blue_fem cup_fem STOP']","var model = function(params) {  return { words : ['blue_masc','plate_masc','red_masc','blue_fem','cup_fem','STOP', 'START'], wordCost: {'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'blue_fem' : params.colorCost,'plate_masc' : params.nounCost,'cup_fem' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { blue_masc: ['blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_plate_masc'], state),plate_masc: ['blue_plate_masc','red_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_plate_masc','red_plate_masc'], state),red_masc: ['red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['red_plate_masc'], state),blue_fem: ['blue_cup_fem'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),cup_fem: ['blue_cup_fem'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['blue_cup_fem'], state),STOP : 1, START : 1 } } }",19,1,1,1,1,0.1,0.1,0.1,1.90734499484064e-06
